Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,3124.000000,3173.000000,3117.149902,3144.149902,3030.234375,515242
2020-02-04,3154.000000,3277.600098,3152.050049,3241.850098,3124.394287,1029957
2020-02-05,3235.000000,3250.000000,3121.699951,3133.350098,3019.825439,956229
2020-02-06,3167.600098,3176.800049,3136.600098,3158.949951,3044.498047,492532
2020-02-07,3159.850098,3185.000000,3137.000000,3166.699951,3051.967529,535233
2020-02-10,3166.449951,3173.250000,3113.000000,3149.100098,3035.004883,295595
2020-02-11,3159.899902,3205.949951,3135.000000,3191.199951,3075.579346,612104
2020-02-12,3172.149902,3213.600098,3164.050049,3195.699951,3079.916504,568633
2020-02-13,3222.750000,3336.899902,3197.100098,3324.600098,3204.146729,1716864
2020-02-14,3305.199951,3333.000000,3277.000000,3304.300049,3184.581787,706686
2020-02-17,3325.800049,3342.050049,3287.199951,3295.550049,3176.148926,640661
2020-02-18,3288.000000,3288.000000,3233.250000,3251.350098,3133.550537,697366
2020-02-19,3258.000000,3298.800049,3258.000000,3278.149902,3159.379150,301821
2020-02-20,3289.300049,3364.949951,3240.050049,3255.300049,3137.357178,924466
2020-02-24,3257.000000,3257.000000,3166.350098,3176.300049,3061.219482,628617
2020-02-25,3182.000000,3182.300049,3056.350098,3086.899902,2975.058350,1001027
2020-02-26,3097.000000,3115.500000,3060.300049,3075.350098,2963.927246,762169
2020-02-27,3094.000000,3094.000000,3029.100098,3067.050049,2955.927734,935416
2020-02-28,3030.000000,3088.500000,2905.250000,2927.100098,2821.048340,1659956
2020-03-02,2961.000000,2997.250000,2876.000000,2905.550049,2800.278809,888866
2020-03-03,2940.000000,3078.000000,2931.250000,3043.699951,2933.423584,1056080
2020-03-04,3065.000000,3186.750000,3036.000000,3171.350098,3056.449219,1832722
2020-03-05,3171.000000,3231.949951,3166.199951,3184.449951,3069.074219,1045742
2020-03-06,3085.199951,3206.449951,3085.199951,3170.949951,3056.063232,1125892
2020-03-09,3158.750000,3189.000000,3026.050049,3061.250000,2950.337646,998528
2020-03-11,3070.000000,3083.899902,2983.000000,3000.600098,2891.885254,1169141
2020-03-12,2948.000000,2982.500000,2803.550049,2850.399902,2747.127197,777939
2020-03-13,2729.949951,3135.399902,2610.000000,2885.100098,2780.570557,986034
2020-03-16,2790.000000,2980.949951,2760.000000,2826.949951,2724.526611,943080
2020-03-17,2830.000000,2904.000000,2757.750000,2781.199951,2680.434326,936803
2020-03-18,2801.800049,2801.800049,2621.050049,2668.449951,2571.769287,873285
2020-03-19,2608.000000,2679.899902,2495.050049,2623.949951,2528.881348,967602
2020-03-20,2641.000000,2949.000000,2641.000000,2897.250000,2792.280029,1554571
2020-03-23,2680.250000,3047.000000,2680.250000,2768.399902,2668.097900,963234
2020-03-24,2850.000000,2960.000000,2801.100098,2857.949951,2754.403564,1068117
2020-03-25,2827.250000,2948.899902,2795.699951,2922.000000,2816.133301,819410
2020-03-26,2975.199951,3066.550049,2879.250000,2948.550049,2841.721191,638995
2020-03-27,2952.800049,3046.949951,2846.100098,2916.500000,2810.832031,801588
2020-03-30,2879.600098,3050.000000,2811.000000,2994.250000,2885.765625,1150459
2020-03-31,3050.000000,3152.000000,3032.050049,3120.750000,3007.681885,1002756
2020-04-01,3119.949951,3144.000000,3066.000000,3095.000000,2982.864746,711043
2020-04-03,3085.000000,3218.850098,3025.100098,3146.800049,3032.788330,1173673
2020-04-07,3250.000000,3615.600098,3210.000000,3583.199951,3453.376953,2367558
2020-04-08,3525.000000,3765.000000,3471.000000,3683.000000,3549.561279,2522295
2020-04-09,3740.000000,3810.000000,3593.199951,3621.550049,3490.337646,1960936
2020-04-13,3694.000000,3856.000000,3607.199951,3746.600098,3610.856934,2322389
2020-04-15,3825.000000,3893.600098,3776.000000,3807.600098,3669.647217,1725111
2020-04-16,3806.399902,3890.000000,3780.000000,3860.649902,3720.774658,1465859
2020-04-17,3970.000000,3997.899902,3823.600098,3929.550049,3787.178711,1814922
2020-04-20,3923.550049,3924.949951,3810.300049,3844.750000,3705.450684,1498791
2020-04-21,3835.000000,4047.800049,3822.050049,4016.399902,3870.881836,2847875
2020-04-22,3989.949951,4094.300049,3961.250000,4056.800049,3909.818115,1783426
2020-04-23,4031.000000,4086.000000,4009.250000,4027.100098,3881.194336,1025657
2020-04-24,4010.000000,4049.600098,3970.100098,4002.800049,3857.774658,1266154
2020-04-27,4002.800049,4065.100098,3955.050049,3980.300049,3836.089844,1124897
2020-04-28,4030.000000,4036.199951,3892.050049,3949.750000,3806.646729,861168
2020-04-29,3949.750000,3970.000000,3872.550049,3880.699951,3740.098389,1039646
2020-04-30,3933.100098,4093.750000,3895.050049,3936.300049,3793.683838,2178030
2020-05-04,3850.000000,4006.000000,3848.199951,3939.000000,3796.285889,1415487
2020-05-05,3980.000000,3986.350098,3806.000000,3833.899902,3694.993896,795726
2020-05-06,3851.000000,3880.000000,3805.050049,3852.500000,3712.920166,955903
2020-05-07,3908.899902,3936.550049,3818.550049,3837.649902,3698.608154,916267
2020-05-08,3900.100098,4132.200195,3900.100098,3984.000000,3839.655762,2003458
2020-05-11,3977.800049,3977.800049,3848.050049,3862.000000,3722.075928,1194988
2020-05-12,3863.199951,3909.600098,3759.149902,3773.399902,3636.685791,1078497
2020-05-13,3849.000000,3849.000000,3735.100098,3779.600098,3642.661621,878435
2020-05-14,3790.000000,3819.949951,3718.600098,3732.000000,3596.785889,897141
2020-05-15,3746.000000,3778.899902,3717.050049,3735.100098,3599.773926,899387
2020-05-18,3760.149902,3762.550049,3613.850098,3679.149902,3545.850586,990876
2020-05-19,3700.149902,3722.000000,3660.100098,3699.600098,3565.560059,935404
2020-05-20,3720.899902,3930.000000,3693.149902,3910.199951,3768.529541,4216709
2020-05-21,3950.000000,3954.149902,3825.500000,3847.500000,3708.101074,1734424
2020-05-22,3840.600098,3910.000000,3811.000000,3892.850098,3751.808350,1010510
2020-05-26,3899.000000,3939.000000,3853.449951,3864.300049,3724.292725,827376
2020-05-27,3864.750000,3900.000000,3814.000000,3883.000000,3742.314941,861668
2020-05-28,3895.000000,3910.800049,3842.500000,3887.750000,3746.893066,792562
2020-05-29,3880.000000,4090.699951,3869.300049,4071.250000,3923.744629,1926224
2020-06-01,4077.600098,4092.350098,3941.050049,3953.550049,3810.308838,1369771
2020-06-02,3985.000000,4007.300049,3886.000000,3895.300049,3754.169678,1490208
2020-06-03,3928.800049,3990.000000,3911.250000,3962.399902,3818.838135,738826
2020-06-04,3959.899902,4057.000000,3956.649902,3998.899902,3854.016113,1199450
2020-06-05,4019.449951,4050.000000,3992.300049,4024.899902,3879.073486,771005
2020-06-08,4034.899902,4034.899902,3942.000000,3967.600098,3823.849854,711998
2020-06-09,3930.000000,4142.000000,3930.000000,4123.799805,3974.390381,2275162
2020-06-10,4145.000000,4190.000000,4087.699951,4112.500000,3963.500244,1553968
2020-06-11,4113.000000,4127.950195,4037.000000,4057.600098,3910.589111,827516
2020-06-12,3992.000000,4036.600098,3981.000000,4007.949951,3862.737793,782304
2020-06-15,4048.000000,4126.899902,3960.600098,4012.300049,3866.930664,1391915
2020-06-16,4065.000000,4080.000000,3952.750000,4005.449951,3860.328369,780026
2020-06-17,4005.449951,4042.750000,3972.000000,3985.199951,3840.812256,637363
2020-06-18,4010.000000,4052.449951,3992.000000,4007.000000,3861.822510,722830
2020-06-19,4020.250000,4044.899902,3992.000000,4005.600098,3860.473389,730943
2020-06-22,4032.000000,4062.500000,4010.899902,4032.850098,3886.735596,531196
2020-06-23,4047.899902,4130.000000,4040.100098,4108.850098,3959.982178,959883
2020-06-24,4112.450195,4136.700195,4028.300049,4042.649902,3896.180664,535548
2020-06-25,4030.000000,4041.000000,3976.550049,4006.600098,3861.437256,753875
2020-06-26,4015.000000,4065.000000,3965.000000,3998.600098,3853.726807,743912
2020-06-29,3998.000000,4044.000000,3958.750000,3973.850098,3829.873779,538487
2020-06-30,4000.000000,4010.899902,3925.500000,3944.949951,3802.020752,680942
2020-07-01,3965.199951,3966.000000,3885.850098,3911.449951,3769.734131,623565
2020-07-02,3946.000000,3979.000000,3901.000000,3920.550049,3778.504395,742293
2020-07-03,3940.000000,3967.949951,3910.000000,3921.449951,3779.371582,456076
2020-07-06,3925.000000,3940.000000,3877.000000,3892.000000,3750.989014,569617
2020-07-07,3894.899902,3919.000000,3814.000000,3823.500000,3684.970947,1035997
2020-07-08,3831.000000,3944.699951,3831.000000,3886.699951,3745.880859,1362258
2020-07-09,3905.000000,3917.000000,3854.050049,3896.600098,3755.422119,491143
2020-07-10,3899.699951,3957.000000,3883.199951,3905.449951,3763.951904,830591
2020-07-13,3915.300049,3928.949951,3874.000000,3899.550049,3782.478271,535688
2020-07-14,3904.000000,3996.050049,3874.000000,3983.149902,3863.568359,1208945
2020-07-15,3989.000000,4047.800049,3961.000000,4036.449951,3915.268066,1059393
2020-07-16,4031.100098,4162.950195,4011.100098,4152.149902,4027.494873,1561865
2020-07-17,4141.000000,4158.000000,4100.000000,4118.750000,3995.097168,742576
2020-07-20,4139.350098,4154.000000,4072.399902,4092.100098,3969.247559,628872
2020-07-21,4100.250000,4130.700195,4006.050049,4033.550049,3912.455078,663296
2020-07-22,4053.550049,4130.000000,4025.050049,4061.600098,3939.663086,818769
2020-07-23,4090.899902,4140.000000,4062.000000,4130.000000,4006.009766,711956
2020-07-24,4130.000000,4179.899902,4051.649902,4065.949951,3943.882568,1095943
2020-07-27,4085.000000,4085.649902,3962.949951,4015.699951,3895.141113,581848
2020-07-28,4019.000000,4092.000000,4007.350098,4051.350098,3929.720703,518594
2020-07-29,4082.449951,4336.000000,4075.399902,4302.200195,4173.040527,4953233
2020-07-30,4393.899902,4560.000000,4340.000000,4516.600098,4381.003418,6294410
2020-07-31,4479.000000,4550.850098,4455.399902,4521.049805,4385.319336,1582134
2020-08-03,4521.049805,4670.000000,4500.000000,4527.450195,4391.527344,2436650
2020-08-04,4530.700195,4654.350098,4490.149902,4634.850098,4495.703613,1666543
2020-08-05,4655.049805,4665.700195,4581.700195,4600.950195,4462.820801,1012014
2020-08-06,4610.049805,4658.000000,4567.549805,4583.049805,4445.458984,917401
2020-08-07,4590.000000,4707.000000,4560.549805,4573.500000,4436.194824,1665343
2020-08-10,4605.000000,4758.600098,4605.000000,4690.899902,4550.070313,1739436
2020-08-11,4715.049805,4738.549805,4565.000000,4595.899902,4457.922363,1291521
2020-08-12,4575.000000,4579.899902,4484.049805,4518.149902,4382.506348,1070724
2020-08-13,4550.149902,4590.450195,4491.750000,4502.250000,4367.083984,910042
2020-08-14,4526.149902,4586.000000,4470.000000,4519.399902,4383.719238,1150784
2020-08-17,4519.450195,4570.000000,4500.200195,4519.149902,4383.477051,677666
2020-08-18,4538.000000,4559.700195,4492.350098,4520.399902,4384.688965,650432
2020-08-19,4540.000000,4558.950195,4476.100098,4489.250000,4354.474121,807214
2020-08-20,4485.000000,4526.600098,4461.100098,4476.000000,4341.622070,806767
2020-08-21,4520.000000,4520.000000,4473.600098,4489.750000,4354.959473,487702
2020-08-24,4489.750000,4507.100098,4425.000000,4472.549805,4338.275391,735238
2020-08-25,4490.000000,4492.399902,4420.000000,4427.700195,4294.772461,602156
2020-08-26,4431.000000,4452.899902,4400.000000,4434.750000,4301.610352,692002
2020-08-27,4442.399902,4468.299805,4417.000000,4437.000000,4303.793457,903663
2020-08-28,4460.000000,4466.000000,4360.799805,4374.299805,4242.975098,1162849
